Latitude,Longitude,Date
39.0036885,-107.0478411,8.10.2024
39.0038581,-107.0471427,8.10.2024
39.0044209,-107.0478693,8.10.2024
39.00535376,-107.04781083,8.10.2024
38.99906969,-107.03858028,8.10.2024
38.99881608,-107.03846508,8.10.2024
38.9989607,-107.0393483,8.10.2024
38.9955122,-107.0417643,8.10.2024
38.9857039,-107.0401861,8.10.2024
38.98541534,-107.03949215,8.10.2024
38.9852314,-107.0390027,8.10.2024
38.9841464,-107.0350053,8.10.2024
39.01199471,-107.03139045,8.10.2024
39.01273732,-107.03115077,8.10.2024
39.01530421,-107.03040895,8.10.2024
39.0106313,-107.0314653,8.10.2024
39.01144677,-107.02245392,8.10.2024
39.01146304,-107.02201395,8.10.2024
39.02067966,-107.00176979,8.10.2024
39.0153786,-106.9865088,8.10.2024
39.01570532,-106.98688604,8.10.2024
39.0129505,-106.9815936,8.10.2024
39.0117956,-106.9762192,8.10.2024
39.0117119,-106.9738764,8.10.2024
39.012902,-106.971771,8.10.2024
39.0132982,-106.9717839,8.10.2024
39.0269757,-107.0901092,8.10.2024
39.0273909,-107.0911765,8.10.2024
39.0272968,-107.090367,8.10.2024
39.05438229,-107.05398918,8.10.2024
39.0570235,-107.0548506,8.10.2024
39.05333498,-107.05254262,8.10.2024
39.051585,-107.0502878,8.10.2024
39.0455714,-107.0411539,8.10.2024
39.0374044,-107.03460027,8.10.2024
39.0691636,-107.0267971,8.10.2024
39.0666239,-107.0285603,8.10.2024
39.0638888,-107.0289353,8.10.2024
39.0631128,-107.0276123,8.10.2024
39.06131938,-107.02720476,8.10.2024
39.06031464,-107.02650662,8.10.2024
39.0553685,-107.0233774,8.10.2024
39.0552129,-107.0210883,8.10.2024
39.0531372,-107.0192006,8.10.2024
39.0514693,-107.018034,8.10.2024
39.0496898,-107.0157102,8.10.2024
39.0498444,-107.0151459,8.10.2024
39.0465324,-107.0098433,8.10.2024
39.0468497,-107.0104758,8.10.2024
